name,ticker,cusip,shares,value_usd,pct_portfolio,country,report_date,filing_date,accession,quarter,form_type
JetBlue Airways Corp,JBLU,477143101,4010140.0,19328874.8,2.6260703353,US,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Deutsche Lufthansa AG,LHA,N/A,456216.0,3303189.13,0.4487797182,DE,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
ANA Holdings Inc,9202,N/A,189603.0,3488295.74,0.4739287754,JP,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Cathay Pacific Airways Ltd,293,N/A,2769418.0,3687123.93,0.5009420815,HK,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
SATS Ltd,SATS,N/A,1625698.0,3726805.73,0.5063333523,SG,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
El Al Israel Airlines,ELAL,N/A,1192986.0,3609275.92,0.4903654519,IL,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Qantas Airways Ltd,QAN,N/A,1325930.0,7498010.78,1.0186989096,AU,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Singapore Airlines Ltd,SIA,N/A,731991.0,3699318.14,0.502598818,SG,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Ryanair Holdings PLC,RYAAY,783513203,158533.0,6717043.21,0.9125946594,IE,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Sabre Corp,SABR,78573M104,4579011.0,12867020.91,1.7481463492,US,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
SkyWest Inc,SKYW,830879102,270074.0,23596365.38,3.2058625133,US,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Southwest Airlines Co,LUV,844741108,2664510.0,89474245.8,12.1561997324,US,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Sun Country Airlines Holdings,SNCY,866683105,1721538.0,21209348.16,2.8815562525,US,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Textron Inc,TXT,883203101,204281.0,14759302.25,2.0052365288,US,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Trip.com Group Ltd,TCOM,89677Q107,120993.0,7692734.94,1.0451546317,SG,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
TripAdvisor Inc,TRIP,896945201,1117375.0,15833203.75,2.1511395315,US,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
United Airlines Holdings Inc,UAL,910047109,1092438.0,75432843.9,10.2484989801,US,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
"Mount Vernon Liquid Assets Portfolio, LLC",,N/A,101961472.3,101961472.3,13.8527462423,US,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Turk Hava Yollari AO,THYAO,N/A,796865.0,6530733.65,0.8872821664,TR,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Grupo Aeroportuario del Pacifi,GAPB,P4959P100,200396.0,3702006.29,0.502964037,MX,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
TAV Havalimanlari Holding AS,TAVHL,N/A,527712.0,3365341.7,0.4572239252,TR,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Amadeus IT Group SA,AMS,N/A,99337.0,7572645.73,1.0288390047,ES,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
International Consolidated Air,IAG,N/A,2056832.0,6929260.67,0.941427066,GB,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
easyJet PLC,EZJ,N/A,1198615.0,6848211.11,0.9304154656,GB,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Japan Airlines Co Ltd,9201,N/A,208841.0,3559584.08,0.4836141915,JP,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Pegasus Hava Tasimaciligi AS,PGSUS,N/A,482842.78,3279602.78,0.4455752164,TR,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Airports of Thailand PCL,AOT,N/A,3153737.0,3509316.78,0.4767847476,TH,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Tongcheng Travel Holdings Ltd,780,G8918W106,1548589.0,4169266.6,0.566447217,CN,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Auckland International Airport,AIA,N/A,800204.0,3711757.34,0.5042888395,NZ,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Bombardier Inc,BBD/B,097751861,279998.0,15756393.48,2.1407038919,CA,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Flughafen Zurich AG,FHZN,N/A,15686.0,3709179.61,0.5039386226,CH,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Copa Holdings SA,CPA,N/A,40001.0,3698492.46,0.502486639,PA,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
MakeMyTrip Ltd,MMYT,N/A,84193.0,8250072.07,1.1208758788,IN,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Airbus SE,AIR,N/A,41781.0,7354063.19,0.9991418221,FR,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Air China Ltd,753,N/A,5637226.0,3549776.38,0.4822816923,CN,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Aeroports de Paris SA,ADP,N/A,35265.0,3582516.14,0.4867297998,FR,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Air France-KLM,AF,N/A,340923.0,3145246.09,0.4273211731,FR,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Air Canada,AC,008911877,2110794.0,20784511.3,2.8238368308,CA,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Aena SME SA,AENA,E526K0106,32181.0,7537120.71,1.0240124847,ES,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Alaska Air Group Inc,ALK,011659109,525131.0,34002232.25,3.1527776201,US,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
American Airlines Group Inc,AAL,02376R102,6604634.0,115118770.62,10.6741193046,US,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Boeing Co/The,BA,097023105,130416.0,23083632.0,2.1403758972,US,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
First American Government Obli,FGXXX,31846V336,4890144.91,4890144.91,0.4534272726,US,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Airbus SE,AIR,N/A,65464.0,10495776.75,0.9731964007,FR,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
ANA Holdings Inc,9202,N/A,274120.0,4992156.47,0.4628860564,JP,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
El Al Israel Airlines,ELAL,N/A,2893082.0,6315362.06,0.5855772062,IL,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
"Mount Vernon Liquid Assets Portfolio, LLC",,N/A,112042982.75,112042982.75,10.3889240536,US,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Air China Ltd,753,N/A,7794204.0,5168270.82,0.4792158484,CN,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Grupo Aeroportuario del Pacifi,GAPB,P4959P100,283270.0,4971591.6,0.4609792268,MX,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Amadeus IT Group SA,AMS,N/A,148952.0,10522717.66,0.9756944337,ES,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Airports of Thailand PCL,AOT,N/A,3092369.0,5396567.11,0.500384089,TH,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Tongcheng Travel Holdings Ltd,780,G8918W106,2079752.0,4873592.4,0.4518924797,CN,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Aena SME SA,AENA,E526K0106,50949.0,10417895.98,0.9659750881,ES,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
MakeMyTrip Ltd,MMYT,N/A,91313.0,10252623.64,0.9506505962,IN,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Delta Air Lines Inc,DAL,247361702,1841470.0,111408935.0,10.330133456,US,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Deutsche Lufthansa AG,LHA,N/A,764752.0,4892435.55,0.4536396668,DE,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
SATS Ltd,SATS,N/A,1974501.0,5262829.89,0.4879836175,SG,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
